metric,scenario,mean,std
CO2,System Fully Coordinated,5769142.719584461,1052882.692912974
CO2,Mission Blvd Zero Offset Northbound,4490365.434711625,887967.7129769879
CO2,Mission Blvd L/V Coordinated Northbound,4453032.296600553,852601.4812280304
NOx,System Fully Coordinated,6489.8041767069635,1087.3101289651036
NOx,Mission Blvd Zero Offset Northbound,2774.172352185085,600.2304872872171
NOx,Mission Blvd L/V Coordinated Northbound,2751.766501777623,581.2932176183157
VOC,System Fully Coordinated,11266.288985255816,4909.942441162713
VOC,Mission Blvd Zero Offset Northbound,6594.531264532166,1481.7021115748382
VOC,Mission Blvd L/V Coordinated Northbound,6577.512177699885,1377.311531047887
PM,System Fully Coordinated,362.94712511984903,99.47737696337686
PM,Mission Blvd Zero Offset Northbound,164.12776242581367,50.41897234456624
PM,Mission Blvd L/V Coordinated Northbound,161.59947495208135,48.70362698610101
