direction,road,scenario,mean,std
Northbound,Mission Boulevard,System Fully Coordinated,731.5422222222219,663.2618334907843
Northbound,Mission Boulevard,Mission Blvd Zero Offset Northbound,850.0899999999995,711.8892934415594
Northbound,Mission Boulevard,Mission Blvd L/V Coordinated Northbound,862.4483333333337,719.650179158302
Northbound,Osgood Road,System Fully Coordinated,451.4070370370373,159.66030833158263
Northbound,Osgood Road,Mission Blvd Zero Offset Northbound,338.8866666666668,150.3201834677989
Northbound,Osgood Road,Mission Blvd L/V Coordinated Northbound,347.15222222222224,155.5813346102135
Northbound,I-680,System Fully Coordinated,4588.823529411765,514.9575192368347
Northbound,I-680,Mission Blvd Zero Offset Northbound,4735.529411764706,633.7643393219281
Northbound,I-680,Mission Blvd L/V Coordinated Northbound,4723.8758169934645,627.6007968725921
Southbound,Mission Boulevard,System Fully Coordinated,546.1318795430947,497.32977190400754
Southbound,Mission Boulevard,Mission Blvd Zero Offset Northbound,515.5358255451711,722.5702870456228
Southbound,Mission Boulevard,Mission Blvd L/V Coordinated Northbound,507.3110072689513,703.3539767099363
Southbound,Osgood Road,System Fully Coordinated,426.7611111111113,184.53117459831404
Southbound,Osgood Road,Mission Blvd Zero Offset Northbound,304.3135416666663,143.29002486938938
Southbound,Osgood Road,Mission Blvd L/V Coordinated Northbound,310.5027777777778,148.858719421127
Southbound,I-680,System Fully Coordinated,3993.1608187134498,648.3887349499466
Southbound,I-680,Mission Blvd Zero Offset Northbound,4171.96052631579,965.5524746500284
Southbound,I-680,Mission Blvd L/V Coordinated Northbound,4177.70760233918,960.4156689410571
Both Directions,Mission Boulevard,System Fully Coordinated,635.7020933977454,589.3323375622952
Both Directions,Mission Boulevard,Mission Blvd Zero Offset Northbound,677.156199677939,735.0478870081838
Both Directions,Mission Boulevard,Mission Blvd L/V Coordinated Northbound,678.8749329039184,731.5034420715829
Both Directions,Osgood Road,System Fully Coordinated,438.686559139785,173.10673360887012
Both Directions,Osgood Road,Mission Blvd Zero Offset Northbound,321.0424731182797,147.51402622494714
Both Directions,Osgood Road,Mission Blvd L/V Coordinated Northbound,328.2363799283156,153.0053141636889
Both Directions,I-680,System Fully Coordinated,4274.445987654322,654.5164783012884
Both Directions,I-680,Mission Blvd Zero Offset Northbound,4438.090277777777,862.8429880193768
Both Directions,I-680,Mission Blvd L/V Coordinated Northbound,4435.6203703703695,854.9303088958674
