direction,road,scenario,mean,std
Northbound,Mission Boulevard,Status Quo,20538.458333333336,2901.724301323908
Northbound,Mission Boulevard,Mission Blvd Zero Offset,21991.18055555555,3696.838037845258
Northbound,Mission Boulevard,Mission Blvd L/V Coordinated Northbound,20968.65277777778,3235.9196551044747
Northbound,Osgood Road,Status Quo,12430.986111111111,2570.0323584480816
Northbound,Osgood Road,Mission Blvd Zero Offset,11258.319444444445,2505.1479624581807
Northbound,Osgood Road,Mission Blvd L/V Coordinated Northbound,11743.916666666666,2366.3361317458257
Northbound,I-680,Status Quo,20039.208333333332,1630.8441897174803
Northbound,I-680,Mission Blvd Zero Offset,19791.888888888887,1643.9624032357972
Northbound,I-680,Mission Blvd L/V Coordinated Northbound,19924.513888888887,1601.2372118129042
Southbound,Mission Boulevard,Status Quo,14929.944444444443,3574.048805814577
Southbound,Mission Boulevard,Mission Blvd Zero Offset,14653.611111111108,3140.147632866913
Southbound,Mission Boulevard,Mission Blvd L/V Coordinated Northbound,16488.861111111113,4834.83307758228
Southbound,Osgood Road,Status Quo,15151.166666666666,4689.853922717115
Southbound,Osgood Road,Mission Blvd Zero Offset,16391.736111111113,4488.417767740624
Southbound,Osgood Road,Mission Blvd L/V Coordinated Northbound,12848.944444444445,3747.165423590908
Southbound,I-680,Status Quo,17540.722222222223,2971.3183587508624
Southbound,I-680,Mission Blvd Zero Offset,17221.083333333332,3678.489826461621
Southbound,I-680,Mission Blvd L/V Coordinated Northbound,17374.916666666664,3022.4115099947576
Both Directions,Mission Boulevard,Status Quo,35468.402777777774,6269.285461121979
Both Directions,Mission Boulevard,Mission Blvd Zero Offset,36644.791666666664,6572.33516454362
Both Directions,Mission Boulevard,Mission Blvd L/V Coordinated Northbound,37457.51388888889,7807.459135002005
Both Directions,Osgood Road,Status Quo,27582.15277777778,7130.056104134659
Both Directions,Osgood Road,Mission Blvd Zero Offset,27650.05555555556,6755.575398362671
Both Directions,Osgood Road,Mission Blvd L/V Coordinated Northbound,24592.86111111111,5945.337904705434
Both Directions,I-680,Status Quo,37579.93055555556,4446.460585558939
Both Directions,I-680,Mission Blvd Zero Offset,37012.972222222226,5128.251167585515
Both Directions,I-680,Mission Blvd L/V Coordinated Northbound,37299.430555555555,4432.141414884891
