scenario,trajectory,num_vehs,mean_ttime
meso_uncoordinated_rep1,"2752, 2753, 2881, 2788, 2789, 2790, 2791, 3400, 2761, 2760, 2762, 7157, 7158, 7159, 7160, 9213, 2879",20011,333.37
meso_uncoordinated_rep2,"2752, 2753, 2881, 2788, 2789, 2790, 2791, 3400, 2761, 2760, 2762, 7157, 7158, 7159, 7160, 9213, 2879",20073,333.13
meso_uncoordinated_rep3,"2752, 2753, 2881, 2788, 2789, 2790, 2791, 3400, 2761, 2760, 2762, 7157, 7158, 7159, 7160, 9213, 2879",19830,333.69
meso_2019_rep1,"2752, 2753, 2881, 2788, 2789, 2790, 2791, 3400, 2761, 2760, 2762, 7157, 7158, 7159, 7160, 9213, 2879",20014,333.40
meso_2019_rep2,"2752, 2753, 2881, 2788, 2789, 2790, 2791, 3400, 2761, 2760, 2762, 7157, 7158, 7159, 7160, 9213, 2879",20078,332.60
meso_2019_rep3,"2752, 2753, 2881, 2788, 2789, 2790, 2791, 3400, 2761, 2760, 2762, 7157, 7158, 7159, 7160, 9213, 2879",19831,333.23
meso_mission_nooffset_rep1,"2752, 2753, 2881, 2788, 2789, 2790, 2791, 3400, 2761, 2760, 2762, 7157, 7158, 7159, 7160, 9213, 2879",20003,331.85
meso_mission_nooffset_rep2,"2752, 2753, 2881, 2788, 2789, 2790, 2791, 3400, 2761, 2760, 2762, 7157, 7158, 7159, 7160, 9213, 2879",19820,332.08
meso_mission_nooffset_rep3,"2752, 2753, 2881, 2788, 2789, 2790, 2791, 3400, 2761, 2760, 2762, 7157, 7158, 7159, 7160, 9213, 2879",20020,333.35
meso_lv_mission_nb_rep1,"2752, 2753, 2881, 2788, 2789, 2790, 2791, 3400, 2761, 2760, 2762, 7157, 7158, 7159, 7160, 9213, 2879",20143,333.20
meso_lv_mission_nb_rep2,"2752, 2753, 2881, 2788, 2789, 2790, 2791, 3400, 2761, 2760, 2762, 7157, 7158, 7159, 7160, 9213, 2879",19819,332.42
meso_lv_mission_nb_rep3,"2752, 2753, 2881, 2788, 2789, 2790, 2791, 3400, 2761, 2760, 2762, 7157, 7158, 7159, 7160, 9213, 2879",19871,333.32
