direction,road,scenario,mean,std
Northbound,Mission Boulevard,System Fully Coordinated,13.647078555019048,19.69681389290322
Northbound,Mission Boulevard,Mission Blvd Zero Offset Northbound,8.517260797008163,7.226141831635296
Northbound,Mission Boulevard,Mission Blvd L/V Coordinated Northbound,8.606739933138616,7.38947025203893
Northbound,Osgood Road,System Fully Coordinated,6.6934588120565595,8.180647967968962
Northbound,Osgood Road,Mission Blvd Zero Offset Northbound,3.4610501021484947,6.6656226273766475
Northbound,Osgood Road,Mission Blvd L/V Coordinated Northbound,3.6174263770048856,7.372478612798198
Northbound,I-680,System Fully Coordinated,19.135274905490252,5.327730460193133
Northbound,I-680,Mission Blvd Zero Offset Northbound,14.472881487015226,2.0493472874791907
Northbound,I-680,Mission Blvd L/V Coordinated Northbound,14.407748706066121,2.025774816271778
Southbound,Mission Boulevard,System Fully Coordinated,10.277275630921439,14.473417276781293
Southbound,Mission Boulevard,Mission Blvd Zero Offset Northbound,5.070579566738441,8.745626367122979
Southbound,Mission Boulevard,Mission Blvd L/V Coordinated Northbound,4.938448145385819,8.444928023555438
Southbound,Osgood Road,System Fully Coordinated,7.646745672653752,10.08381084372315
Southbound,Osgood Road,Mission Blvd Zero Offset Northbound,3.8290039590254623,5.631326371502656
Southbound,Osgood Road,Mission Blvd L/V Coordinated Northbound,4.056326709069004,6.455496925816993
Southbound,I-680,System Fully Coordinated,14.42774143498613,12.146706525588176
Southbound,I-680,Mission Blvd Zero Offset Northbound,10.903294977438428,4.12663818530199
Southbound,I-680,Mission Blvd L/V Coordinated Northbound,11.789353787145588,5.952394634445109
Both Directions,Mission Boulevard,System Fully Coordinated,11.905199748842977,17.236268168545706
Both Directions,Mission Boulevard,Mission Blvd Zero Offset Northbound,6.735642963004009,8.211723878229082
Both Directions,Mission Boulevard,Mission Blvd L/V Coordinated Northbound,6.710569781981371,8.143427607103426
Both Directions,Osgood Road,System Fully Coordinated,7.185477836880918,9.209801625107602
Both Directions,Osgood Road,Mission Blvd Zero Offset Northbound,3.650961770214027,6.146225740034764
Both Directions,Osgood Road,Mission Blvd L/V Coordinated Northbound,3.843955580650881,6.9066014347262366
Both Directions,I-680,System Fully Coordinated,16.650743351613077,9.72295117142074
Both Directions,I-680,Mission Blvd Zero Offset Northbound,12.588933051405247,3.734187023193733
Both Directions,I-680,Mission Blvd L/V Coordinated Northbound,13.02581805441362,4.67495373531552
