direction,road,scenario,mean,std
Northbound,Mission Boulevard,System Fully Coordinated,731.5422222222223,663.2618334907842
Northbound,Mission Boulevard,Mission Blvd Zero Offset Northbound,829.4316666666667,697.4056131684775
Northbound,Mission Boulevard,Mission Blvd L/V Coordinated Northbound,862.4483333333337,719.650179158302
Northbound,Osgood Road,System Fully Coordinated,451.4070370370373,159.66030833158263
Northbound,Osgood Road,Mission Blvd Zero Offset Northbound,362.58888888888885,174.33984749921694
Northbound,Osgood Road,Mission Blvd L/V Coordinated Northbound,347.15222222222224,155.5813346102135
Northbound,I-680,System Fully Coordinated,4588.823529411765,514.9575192368347
Northbound,I-680,Mission Blvd Zero Offset Northbound,4722.225490196078,630.9979335598989
Northbound,I-680,Mission Blvd L/V Coordinated Northbound,4723.8758169934645,627.6007968725921
Southbound,Mission Boulevard,System Fully Coordinated,546.1318795430947,497.32977190400754
Southbound,Mission Boulevard,Mission Blvd Zero Offset Northbound,496.7305295950155,678.458788657138
Southbound,Mission Boulevard,Mission Blvd L/V Coordinated Northbound,507.3110072689513,703.3539767099363
Southbound,Osgood Road,System Fully Coordinated,426.7611111111113,184.53117459831404
Southbound,Osgood Road,Mission Blvd Zero Offset Northbound,310.0156249999998,169.95741419666732
Southbound,Osgood Road,Mission Blvd L/V Coordinated Northbound,310.5027777777778,148.858719421127
Southbound,I-680,System Fully Coordinated,3993.1608187134498,648.3887349499466
Southbound,I-680,Mission Blvd Zero Offset Northbound,4210.087719298245,956.6045782026848
Southbound,I-680,Mission Blvd L/V Coordinated Northbound,4177.70760233918,960.4156689410571
Both Directions,Mission Boulevard,System Fully Coordinated,635.7020933977459,589.332337562295
Both Directions,Mission Boulevard,Mission Blvd Zero Offset Northbound,657.4557165861514,705.9566755276251
Both Directions,Mission Boulevard,Mission Blvd L/V Coordinated Northbound,678.8749329039184,731.5034420715829
Both Directions,Osgood Road,System Fully Coordinated,438.686559139785,173.10673360887012
Both Directions,Osgood Road,Mission Blvd Zero Offset Northbound,335.45430107526914,173.81633127148896
Both Directions,Osgood Road,Mission Blvd L/V Coordinated Northbound,328.2363799283156,153.0053141636889
Both Directions,I-680,System Fully Coordinated,4274.445987654322,654.5164783012884
Both Directions,I-680,Mission Blvd Zero Offset Northbound,4451.930555555556,848.4519716603209
Both Directions,I-680,Mission Blvd L/V Coordinated Northbound,4435.6203703703695,854.9303088958674
