direction,road,scenario,mean,std
Northbound,Mission Boulevard,System Fully Uncoordinated,231.9576289147759,326.73734171263817
Northbound,Mission Boulevard,System Fully Coordinated,262.76585259582197,331.6570542484753
Northbound,Mission Boulevard,Mission Blvd L/V Coordinated Northbound,319.4003725962606,439.5455212179537
Northbound,Osgood Road,System Fully Uncoordinated,100.47998475409919,96.83375726171283
Northbound,Osgood Road,System Fully Coordinated,116.73746818428624,112.45314188088801
Northbound,Osgood Road,Mission Blvd L/V Coordinated Northbound,96.17182479142818,105.55160505374084
Northbound,I-680,System Fully Uncoordinated,14935.357884016868,15635.343167189249
Northbound,I-680,System Fully Coordinated,14121.294250211557,14680.922618544264
Northbound,I-680,Mission Blvd L/V Coordinated Northbound,14617.575407952638,15393.703576388865
Southbound,Mission Boulevard,System Fully Uncoordinated,160.0028107142889,237.2887637317983
Southbound,Mission Boulevard,System Fully Coordinated,205.4756684376196,310.24574286576797
Southbound,Mission Boulevard,Mission Blvd L/V Coordinated Northbound,174.24937092059807,273.2683578144026
Southbound,Osgood Road,System Fully Uncoordinated,78.31010732136163,78.76133627918257
Southbound,Osgood Road,System Fully Coordinated,102.18621034818139,113.60994685868314
Southbound,Osgood Road,Mission Blvd L/V Coordinated Northbound,72.7611135338854,85.09243942257116
Southbound,I-680,System Fully Uncoordinated,6996.904474583724,6843.617035838505
Southbound,I-680,System Fully Coordinated,6739.842296336188,6579.828549114609
Southbound,I-680,Mission Blvd L/V Coordinated Northbound,7080.935255066812,6947.381116461413
Both,Mission Boulevard,System Fully Uncoordinated,195.1195162475407,286.064872538454
Both,Mission Boulevard,System Fully Coordinated,233.43547123253197,321.38363853254157
Both,Mission Boulevard,Mission Blvd L/V Coordinated Northbound,245.08861575752425,370.3497265065133
Both,Osgood Road,System Fully Uncoordinated,89.0374673694605,88.52483850813162
Both,Osgood Road,System Fully Coordinated,109.22714155919992,113.1034888196107
Both,Osgood Road,Mission Blvd L/V Coordinated Northbound,84.08887704559952,96.10093827877618
Both,I-680,System Fully Uncoordinated,10745.618584593818,12328.684141968255
Both,I-680,System Fully Coordinated,10225.527941221777,11608.648760197255
Both,I-680,Mission Blvd L/V Coordinated Northbound,10639.904216151786,12153.633595032932
